client_name,qty_mt
Aargee Steel Inc,28.24
ABCON CONCRETE SURGEONS PRIVATE LIMITED,17.03
Acharya Gurukula Vidya Kendra,21.96
Adishakti Smelters Pvt Ltd (TMT),23.99
Agarwal Ispat,179.08
AJMERA HOUSING CORPORATION(BANGALORE),405.78
Akash Education And Development Trust,24.985
A K METAL MART,7.745
AKSHAYA ENGINEERS AND PROMOTERS,66.28
AKSHAYA INFRATECKH,10.01
Alfa Steels (Tmt),16.08
AMBERSTONE PROPERTIES,721.9
AMRIT STEELS,88.05
ANAND STEELS,246.85
Anmol Trading Co,324.84
APEX INFRATECH,99.77
ARASA PROJECTS,285.35
ARBUDA STEEL,11.98
ASHIANA ISPAT LIMITED,379.73
AURA,13.78
AVINASH ENTERPRISES,422.43
Azad Steels,19.28
Balaji Constructions (TMT),88.65
Basheer Traders (Tmt),47.24
B B R TRADERS,17.04
BCM INFRASTRUCTURE PRIVATE LIMITED,84.89
BEERESHWARA TRADERS.,15.29
Bharathi C,36.42
Casa Grande Garden City Builders Pvt Ltd (TMT),72.27
CASAGRAND LOTUS PRIVATE LIMITED,99.75
CREATIVE PROJECTS AND CONTRACTS PVT. LTD.,526.22
CRN CONSTRUCTIONS(TMT),58.14
DHRUVIT CONSTRUCTIONS,11.905
DIVYA TRADERS,28.14
DS MAX,88.85
D S Max Properties Pvt Ltd,4069.678
DSR GREEN HOMES,521.94
DSR Infra Projects,1601.5
D S R INFRASTRUCTURE PRIVATE LIMITED,39.94
Elegant Altima ( TMT),134.69
ELEGANT ATMOS,166.74
ELEGANT BUILDERS AND DEVELOPERS,256.595
EMBASSY MARBLE & CEMENT COMPANY,199.95
Essence Realty LLP (Tmt),248.96
Evershine Traders (Tmt),29.99
GANESH PRASAD CONSTRUCTIONS,34.03
"GARG STEEL TRADING CO,",20.01
GENUINE TRADERS,10.51
GOLDEN STEEL CORPORATION,31.26
GOPALA NARAYANA RAO,4.98
G R  Construction,88.794
G R Trading Company (Tmt),611.92
Gupta Brothers (Tmt),17.06
Gupta Steel & Wire Traders,202.305
Hakimi Construction (Tmt),14.35
Harsh Enterprises,460.59
Harsh Steel Traders,84.85
HASANAMBA POLES,59.9
H.K. RAVI CIVIL CONTRACTOR,117.38
IMADI CONSTRUCTION LLP,50.01
INDIGO PROJECT,1.11
Jagruthi Enterprises,20.79
Jai Bharat Iron & Steel Co.,123.27
Jain Industrial Corporation (Tmt),75.99
JAIN STEEL INDUSTRIES (TMT),64.11
Kala Iron Stores (Tmt),19.62
KALPATARU PROJECTS INTERNATIONAL LIMITED,2307.83
KARBON AGRO REROLLERS LLP,7.06
Kaushalesh Steels,411.62
KAV ENTERPRISES,119.85
Klassik Enterprises Pvt Ltd,14.23
KNS INDUSTRIES,36.38
Krishna Enterprises,14.95
KRISHZEN BUILDERS AND DEVELOPERS PRIVATE LIMITED,60.865
KRUPA AMRUTHESWARA,11.95
Lakshmi Enterprises (Dommasandra),566.16
Lakshmi Steel Traders,17
Limrah Agencies (TMT),23.08
LORVEN VENTURES,224.345
LVS VENTURES,21.1
MAHALAXMI STEEL AND CEMENTS,42.51
MANA CONSTRUCTIONS,168.44
MANA PROJECTS PVT LTD,253.14
Mana Promoters LLP,100.31
MANJUNATH ARALIKATTI,10.33
Meenakkshi Steel Industtries.,26.69
Meenakshi Steel Suppliers,198.88
Metalmatics,44.35
MIKKWAI ENTERPRSES,19.97
M. M. TRADERS (TMT),24.41
Motiwala Steel Pvt Ltd,1153.37
Mr Ashok Parmar (URD),11.42
M/S B C HOLLOW BRICKS,10.89
Nambiar Builders Pvt. Ltd.(Tmt),315.5
NAMBIAR ENSEMBLERESIDENTIAL PROJECTS LLP,12.38
NAMBIAR ENTERPRISES LLP,38.41
NBR PROJECTS LLP,99.88
NEW RAJASTAN GRAND HOTEL AND INTERNATIONAL CONVENTION CENTRE,159.53
OSWAL SMELTERS PVT LTD,30.02
Pankaj Steels,245.16
PAVANI CONSTRUCTIONS AND DEVELOPERS,29.91
Pearl Granexpo Pvt Ltd,89
Peenya Industrial Gases Private Limited,7.185
P K S INDUSTRIES,49.34
P.K.S.PRESTRESSED CONCRETE PRODUCTS,99.81
PLAYMAX,1.26
POOJA STEELS,33.09
P P Steel,17.11
PRATHAM JEETH EXPORTS,12.39
PREMA ENTERPRISES,180.51
PRIDE HOUSING,71.86
PRIYA ENGINEERING PROJECTS PRIVATE LIMITED,39.94
QUALITY AGENCY,10.6
RAJESHWARI DEVELOPERS AND SERVICES,8.55
Rajul Enterprises (Tmt),10.89
R A  K Construction,23.19
RAMSONS TRENDSQUARES REALTY LLP,464.1
Ranganatha Steel Traders (Tmt),136.86
RAVI INFRABUILD PROJECTS LIMITED,3.94
R.B.STEELS (SAKALESHPURA),251.5
R.K.SURAKSHA PROPERTIES,139.67
ROOPA ENGNERING CORPORATION,19.74
RUCHIRA DEVELOPERS LLP,85.73
Sai Properties,149.53
SAI SRAVANTHI INFRA PROJECTS PRIVATE LIMITED,413.63
Sameena Hardware and Paints (Tmt),15.97
Sapthagiri Traders (Tmt),75.48
S B URBANSCAPES,18.25
SD Steel (Tmt),349.1
SELECTED STEEL HARDWARE,4.12
Sentrise Construction LLP,73.3
SHAILA STEEL AND CEMENT,73.74
SHANKAR H S CONTRACTOR,15.01
Shejawadkar Design And Construction Pvt Ltd,49.8
Shiva Shankari Enterprises,365.23
SHREE CHELLUVARAYASWAMY TRADERS,17.99
SHREE GAUTAM LABDHI JAIN SANGH,25.16
SHREE KALMESHWARA TRADERS,9.99
SHREE SAI KRISHNA TRADERS,19.99
SHRI MEENAKSHI STEEL AND CEMENT SUPPLIERS,20.09
SIDDHACHAL DEVELOPERS,36.16
SINCHANA TRADERS,42.34
SIPANI DEVELOPERS PRIVATE LIMITED,126.99
S.L.V.Digital Survey,7.2
SNN Builders Pvt.Ltd,39.97
SNN PROPERTIES LLP,493.8
SNN SPIRITUA DEVELOPERS,5.02
Sobha Limited (Tmt),2689.56
Solid Steels,12.49
SOMANI ALLOYS (SALES),224.665
SOWJANYA CONCRETE PRODUCTS,14.99
SREE KARTHIK HARDWARES (TMT),29.98
SREE MANJUNATHA ENTERPRISES,12.08
SREE METAL WORLD,15.38
SRI BALAJI STEEL TRADERS,27
SRI BALAJI TRADERS (D GROUP),34.97
SRI CHAMUNDESHWARI TRADERS,61.22
SRI CHANNAKESHAVA SWAMY TRADERS,50.26
Sri Durga Traders,116.78
SRI KENKERI TRADERS,7.95
Sri Krishna Steel Traders,120.66
Sri Kutch Kadava Patidar Sanatan Samaj,59.71
SRI LAKSHMI TRADERS,15.07
"SRI MANJUNATH STEEL TRADERS,",55.6
SRI MARUTHI STEELS,56.91
Srinivasa Steel Traders (Tmt),160.65
SRI RANGANATHA TRADERS,14.84
SRI SRINIVASA STEEL AND INFRA SOLUTIONS,30.92
SRI TULAJABHAVANI CONCRETE PRODUCTS,47.81
SRI VEERABHADRESHWARA TRADERS,80.13
Sri Venkateshwarara Traders (TN),29.98
Sri Venkateshwara Traders Hunsur (Tmt),166.61
SRNAINIKA INFRASTRUCTURE PRIVATE LIMITED,21.01
S R S Cement Traders,133.86
Steel House Tradelinks Private Limited,44.4
SUBRAM BUILDERS,24.39
SULIT METALS AND ALLOYS PRIVATE LIMITED,9.14
SUSHI STEELS,9.35
SUYUG CONSTRUCTIONS,39.86
S.V.C.P INDUSTRIES,30.01
S V STEELS AND WIRES,123.74
Tarun Aero Tech,4.41
THAYI MUDDAMMA TRADERS,10.03
Thirumala Trading Co (Tmt),17.99
TNT STEELS PRIVATE LIMITED,74.54
TOWNY NEST VENTURES PRIVATE LIMITED,122.73
UNITED STEELS,450.05
URVASHI TRADING COMPANY,30.21
V2 HOLDINGS HOUSING DEVELOPMENT PRIVATE LIMITED,24.97
V B S STEELS AND CEMENTS,15.16
VEDANTH SURAKSHA PROPERTIES,41.88
Vedik Ispat Pvt Ltd (Hindupur),49.9
Venkateshwara Steel Traders,508.74
V.H.CONSTRUCTIONS,88.54
VIJAY ELECTRICALS AND CIVIL CONTRACTOR,56.91
VINAY EARTH MOVERS,10.04
VIREN M GOKLANEY,8.16
Yashodha Entersprises,44.86
